countyid,Year,name,region,division,giniall,population_sum,households_sum,IncomeSE,Education,cluster 3,cluster 6
1001,2013,Autauga County Non-migrants,South,East South Central,0.3403475,78430,28941,1216.373504,5.903301367,2,3
1003,2013,Baldwin County Non-migrants,South,East South Central,0.41934237,192425,73123,1301.414004,5.524489708,2,3
1005,2013,Barbour County Non-migrants,South,East South Central,0.4617376,30524,10549,683.3685385,4.247745883,1,1
1007,2013,Bibb County Non-migrants,South,East South Central,0.32125926,17425,5505,334.4873003,4.306708475,1,2
1009,2013,Blount County Non-migrants,South,East South Central,0.42801532,57164,20132,747.5005487,5.57970995,1,2
1011,2013,Bullock County Non-migrants,South,East South Central,0.46893442,1652,624,96.38303059,2.763999717,1,1
1013,2013,Butler County Non-migrants,South,East South Central,0.42119393,18741,7328,669.4045132,4.202800667,1,1
1015,2013,Calhoun County Non-migrants,South,East South Central,0.41380671,127427,49584,984.8997032,5.205220133,1,2
1017,2013,Chambers County Non-migrants,South,East South Central,0.36059681,60711,24191,881.8459556,3.463503727,1,1
1019,2013,Cherokee County Non-migrants,South,East South Central,0.40643066,50896,20505,957.5521736,4.672157342,1,1
1021,2013,Chilton County Non-migrants,South,East South Central,0.42226037,67909,25006,839.4875128,4.767827225,2,3
1023,2013,Choctaw County Non-migrants,South,East South Central,0.4638299,10161,4156,158.1399429,3.715195667,1,1
1025,2013,Clarke County Non-migrants,South,East South Central,0.3972272,17478,6612,470.1355975,4.0200863,1,1
1027,2013,Clay County Non-migrants,South,East South Central,0.34882185,40155,15188,1167.271748,4.47280275,1,1
1029,2013,Cleburne County Non-migrants,South,East South Central,0.3635034,7548,2870,177.7900274,5.050220108,1,2
1031,2013,Coffee County Non-migrants,South,East South Central,0.42904034,48552,18302,1396.350934,4.102733633,2,3
1033,2013,Colbert County Non-migrants,South,East South Central,0.38716498,52792,21667,860.1641937,4.712503142,1,2
1035,2013,Conecuh County Non-migrants,South,East South Central,0.53506351,48598,17900,798.1244026,4.769786583,1,1
1037,2013,Coosa County Non-migrants,South,East South Central,0.38111112,2493,985,140.9652517,4.2690726,1,1
1039,2013,Covington County Non-migrants,South,East South Central,0.51320964,24685,10002,464.0967763,5.267352658,1,1
1041,2013,Crenshaw County Non-migrants,South,East South Central,0.41536787,29395,11074,414.2606539,5.165554808,1,1
1043,2013,Cullman County Non-migrants,South,East South Central,0.37993744,94041,36391,779.0239171,5.426683783,1,2
1045,2013,Dale County Non-migrants,South,East South Central,0.42007604,27957,10682,917.1461669,4.924826092,1,2
1047,2013,Dallas County Non-migrants,South,East South Central,0.43406707,5236,2081,129.9217113,3.663043717,1,1
1049,2013,DeKalb County Non-migrants,South,East South Central,0.37928599,92900,35107,631.37209,4.585643075,1,2
1051,2013,Elmore County Non-migrants,South,East South Central,0.37934536,80124,28540,861.07313,4.916629417,2,3
